"Minutes","Count"
-35,1
-34,0
-33,0
-32,1
-31,1
-30,0
-29,0
-28,1
-27,0
-26,0
-25,1
-24,0
-23,0
-22,1
-21,1
-20,1
-19,1
-18,4
-17,2
-16,2
-15,1
-14,2
-13,2
-12,4
-11,5
-10,3
-9,1
-8,1
-7,4
-6,2
-5,0
-4,1
-3,1
-2,7
-1,18
0,102
1,25
2,36
3,89
4,143
5,171
6,259
7,299
8,337
9,294
10,328
11,340
12,308
13,300
14,380
15,296
16,333
17,301
18,282
19,258
20,291
21,247
22,218
23,223
24,215
25,170
26,147
27,149
28,137
29,105
30,121
31,106
32,91
33,69
34,79
35,50
36,42
37,39
38,31
39,38
40,28
41,23
42,23
43,13
44,13
45,18
46,10
47,8
48,9
49,4
50,4
51,6
52,3
53,3
54,1
55,1
56,2
57,4
58,0
59,3
60,0
61,4
62,2
63,0
64,0
65,1
66,0
67,0
68,0
69,0
70,1
71,0
72,0
73,0
74,0
75,1
